place	url	type	parent	latitude	longitude
Hawley, Texas	https://en.wikipedia.org/wiki/Hawley,_Texas	link	Abilene metropolitan area	32°36′43″N	99°48′48″W
Radium, Texas	https://en.wikipedia.org/wiki/Radium,_Texas	link	Abilene metropolitan area	32°49′45″N	99°59′43″W
Stamford, Texas	https://en.wikipedia.org/wiki/Stamford,_Texas	link	Abilene metropolitan area	32°56′57″N	99°47′24″W
Tye, Texas	https://en.wikipedia.org/wiki/Tye,_Texas	link	Abilene metropolitan area	32°27′12″N	99°52′1″W
Wylie High School (Abilene, Texas)	https://en.wikipedia.org/wiki/Wylie_High_School_(Abilene,_Texas)	link	Abilene metropolitan area	32°22′32″N	99°46′59″W
Hamlin, Texas	https://en.wikipedia.org/wiki/Hamlin,_Texas	link	Abilene metropolitan area	32°53′12″N	100°7′31″W
Rincón, Puerto Rico	https://en.wikipedia.org/wiki/Rincón,_Puerto_Rico	feature	Aguadilla–Isabela–San Sebastián metropolitan area	18°20′25″N	67°15′06″W
Lares, Puerto Rico	https://en.wikipedia.org/wiki/Lares,_Puerto_Rico	feature	Aguadilla–Isabela–San Sebastián metropolitan area	18°17′42″N	66°52′43″W
Isabela, Puerto Rico	https://en.wikipedia.org/wiki/Isabela,_Puerto_Rico	feature	Aguadilla–Isabela–San Sebastián metropolitan area	18°30′47″N	67°04′12″W
Moca, Puerto Rico	https://en.wikipedia.org/wiki/Moca,_Puerto_Rico	feature	Aguadilla–Isabela–San Sebastián metropolitan area	18°23′41″N	67°06′48″W
Aguada, Puerto Rico	https://en.wikipedia.org/wiki/Aguada,_Puerto_Rico	feature	Aguadilla–Isabela–San Sebastián metropolitan area	18°22′46″N	67°11′18″W
Boiling Nuclear Superheater (BONUS) Reactor Facility	https://en.wikipedia.org/wiki/Boiling_Nuclear_Superheater_(BONUS)_Reactor_Facility	feature	Aguadilla–Isabela–San Sebastián metropolitan area	18°21′59″N	67°16′7″W
Añasco, Puerto Rico	https://en.wikipedia.org/wiki/Añasco,_Puerto_Rico	feature	Aguadilla–Isabela–San Sebastián metropolitan area	18°18′58″N	67°08′23″W
Aguadilla, Puerto Rico	https://en.wikipedia.org/wiki/Aguadilla,_Puerto_Rico	feature	Aguadilla–Isabela–San Sebastián metropolitan area	18°25′48″N	67°9′16″W
San Sebastián, Puerto Rico	https://en.wikipedia.org/wiki/San_Sebastián,_Puerto_Rico	feature	Aguadilla–Isabela–San Sebastián metropolitan area	18°20′14″N	66°59′26″W
Summit County, Ohio	https://en.wikipedia.org/wiki/Summit_County,_Ohio	feature	Akron metropolitan area	41°08′N	81°32′W
Portage County, Ohio	https://en.wikipedia.org/wiki/Portage_County,_Ohio	feature	Akron metropolitan area	41°10′N	81°12′W
Smithville, Georgia	https://en.wikipedia.org/wiki/Smithville,_Georgia	feature	Albany metropolitan area, Georgia	31°54′7″N	84°15′19″W
Prospect, Georgia	https://en.wikipedia.org/wiki/Prospect,_Georgia	link	Albany metropolitan area, Georgia	33°24′32″N	83°45′40″W
Meridian, Georgia	https://en.wikipedia.org/wiki/Meridian,_Georgia	link	Albany metropolitan area, Georgia	31°27′07″N	81°22′40″W
Emerson, Georgia	https://en.wikipedia.org/wiki/Emerson,_Georgia	link	Albany metropolitan area, Georgia	34°7′36.5″N	84°45′25.5″W
Camilla, Georgia	https://en.wikipedia.org/wiki/Camilla,_Georgia	link	Albany metropolitan area, Georgia	31°13′49″N	84°12′33″W
Warwick, Georgia	https://en.wikipedia.org/wiki/Warwick,_Georgia	feature	Albany metropolitan area, Georgia	31°49′49″N	83°55′15″W
Lawrenceville, Georgia	https://en.wikipedia.org/wiki/Lawrenceville,_Georgia	link	Albany metropolitan area, Georgia	33°57′11″N	83°59′33″W
Forest Park, Georgia	https://en.wikipedia.org/wiki/Forest_Park,_Georgia	link	Albany metropolitan area, Georgia	33°37′11″N	84°21′57″W
Hartwell, Georgia	https://en.wikipedia.org/wiki/Hartwell,_Georgia	link	Albany metropolitan area, Georgia	34°21′10″N	82°55′52″W
Saffold, Georgia	https://en.wikipedia.org/wiki/Saffold,_Georgia	link	Albany metropolitan area, Georgia	31°07′13″N	85°02′00″W
Rolling Acres Subdivision	https://en.wikipedia.org/wiki/Rolling_Acres_Subdivision	feature	Albany metropolitan area, Georgia	31°30′14″N	84°19′02″W
Naomi, Georgia	https://en.wikipedia.org/wiki/Naomi,_Georgia	link	Albany metropolitan area, Georgia	34°41′35″N	85°12′28″W
Lumber City, Georgia	https://en.wikipedia.org/wiki/Lumber_City,_Georgia	link	Albany metropolitan area, Georgia	31°55′48″N	82°41′1″W
Villanow, Georgia	https://en.wikipedia.org/wiki/Villanow,_Georgia	link	Albany metropolitan area, Georgia	34°40′25″N	85°06′53″W
Airport Subdivision, Albany, Georgia	https://en.wikipedia.org/wiki/Airport_Subdivision,_Albany,_Georgia	feature	Albany metropolitan area, Georgia	31°30′14″N	84°19′02″W
Calhoun, Georgia	https://en.wikipedia.org/wiki/Calhoun,_Georgia	link	Albany metropolitan area, Georgia	34°30′0″N	84°56′33″W
Sugar Valley, Georgia	https://en.wikipedia.org/wiki/Sugar_Valley,_Georgia	link	Albany metropolitan area, Georgia	34°33′29″N	85°0′43″W
Monroe, Georgia	https://en.wikipedia.org/wiki/Monroe,_Georgia	link	Albany metropolitan area, Georgia	33°47′36″N	83°42′39″W
Egypt, Georgia	https://en.wikipedia.org/wiki/Egypt,_Georgia	link	Albany metropolitan area, Georgia	32°27′43″N	81°28′26″W
Tifton, Georgia	https://en.wikipedia.org/wiki/Tifton,_Georgia	link	Albany metropolitan area, Georgia	31°27′48″N	83°30′36″W
Adrian, Georgia	https://en.wikipedia.org/wiki/Adrian,_Georgia	link	Albany metropolitan area, Georgia	32°31′55″N	82°35′26″W
Cornelia, Georgia	https://en.wikipedia.org/wiki/Cornelia,_Georgia	link	Albany metropolitan area, Georgia	34°30′49″N	83°31′51″W
Lee County, Georgia	https://en.wikipedia.org/wiki/Lee_County,_Georgia	feature	Albany metropolitan area, Georgia	31°47′N	84°08′W
Sasser, Georgia	https://en.wikipedia.org/wiki/Sasser,_Georgia	feature	Albany metropolitan area, Georgia	31°43′12″N	84°20′52″W
Ponce de Leon Avenue	https://en.wikipedia.org/wiki/Ponce_de_Leon_Avenue	link	Albany metropolitan area, Georgia	33°46′29.6″N	84°20′35″W
Lithia Springs, Georgia	https://en.wikipedia.org/wiki/Lithia_Springs,_Georgia	link	Albany metropolitan area, Georgia	33°47′50″N	84°39′22″W
Gainesville, Georgia	https://en.wikipedia.org/wiki/Gainesville,_Georgia	link	Albany metropolitan area, Georgia	34°18′16″N	83°50′2″W
Carrollton, Georgia	https://en.wikipedia.org/wiki/Carrollton,_Georgia	link	Albany metropolitan area, Georgia	33°34′51″N	85°4′36″W
Flippen, Georgia	https://en.wikipedia.org/wiki/Flippen,_Georgia	link	Albany metropolitan area, Georgia	33°28′59″N	84°11′15″W
Broxton, Georgia	https://en.wikipedia.org/wiki/Broxton,_Georgia	link	Albany metropolitan area, Georgia	31°37′39″N	82°53′23″W
Hollingsworth, Georgia	https://en.wikipedia.org/wiki/Hollingsworth,_Georgia	link	Albany metropolitan area, Georgia	34°26′19″N	83°30′30″W
Dougherty County, Georgia	https://en.wikipedia.org/wiki/Dougherty_County,_Georgia	feature	Albany metropolitan area, Georgia	31°32′N	84°13′W
Chestatee, Georgia	https://en.wikipedia.org/wiki/Chestatee,_Georgia	link	Albany metropolitan area, Georgia	34°17′39″N	83°59′59″W
Fountainville, Georgia	https://en.wikipedia.org/wiki/Fountainville,_Georgia	link	Albany metropolitan area, Georgia	32°17′1″N	84°9′26″W
Climax, Georgia	https://en.wikipedia.org/wiki/Climax,_Georgia	link	Albany metropolitan area, Georgia	30°52′38″N	84°25′55″W
Savannah Beach	https://en.wikipedia.org/wiki/Savannah_Beach	link	Albany metropolitan area, Georgia	32°0′24″N	80°50′58″W
Meigs, Georgia	https://en.wikipedia.org/wiki/Meigs,_Georgia	link	Albany metropolitan area, Georgia	31°4′22″N	84°5′28″W
Hawkinsville, Georgia	https://en.wikipedia.org/wiki/Hawkinsville,_Georgia	link	Albany metropolitan area, Georgia	32°17′1″N	83°28′36″W
Cedartown, Georgia	https://en.wikipedia.org/wiki/Cedartown,_Georgia	link	Albany metropolitan area, Georgia	34°0′55″N	85°15′14″W
Saint Joseph%27s Hospital (Atlanta)	https://en.wikipedia.org/wiki/Saint_Joseph%27s_Hospital_(Atlanta)	link	Albany metropolitan area, Georgia	33°54′34″N	84°21′03″W
Eastman, Georgia	https://en.wikipedia.org/wiki/Eastman,_Georgia	link	Albany metropolitan area, Georgia	32°11′52″N	83°10′45″W
Farrar, Georgia	https://en.wikipedia.org/wiki/Farrar,_Georgia	link	Albany metropolitan area, Georgia	33°27′46″N	83°38′03″W
Buford Highway	https://en.wikipedia.org/wiki/Buford_Highway	link	Albany metropolitan area, Georgia	33°53′15″N	84°18′19″W
Doublegate, Georgia	https://en.wikipedia.org/wiki/Doublegate,_Georgia	feature	Albany metropolitan area, Georgia	31°35′56″N	84°15′20″W
Social Circle, Georgia	https://en.wikipedia.org/wiki/Social_Circle,_Georgia	link	Albany metropolitan area, Georgia	33°39′N	83°43′W
Leesburg, Georgia	https://en.wikipedia.org/wiki/Leesburg,_Georgia	feature	Albany metropolitan area, Georgia	31°43′58″N	84°10′15″W
Jefferson, Georgia	https://en.wikipedia.org/wiki/Jefferson,_Georgia	link	Albany metropolitan area, Georgia	34°7′36″N	83°35′25″W
Sylvester, Georgia	https://en.wikipedia.org/wiki/Sylvester,_Georgia	feature	Albany metropolitan area, Georgia	31°31′53″N	83°50′10″W
Doraville, Georgia	https://en.wikipedia.org/wiki/Doraville,_Georgia	link	Albany metropolitan area, Georgia	33°54′19″N	84°16′26″W
Ashton, Georgia	https://en.wikipedia.org/wiki/Ashton,_Georgia	link	Albany metropolitan area, Georgia	31°42′18″N	83°09′22″W
Brookhaven, Georgia	https://en.wikipedia.org/wiki/Brookhaven,_Georgia	link	Albany metropolitan area, Georgia	33°51′33″N	84°20′20″W
Parrott, Georgia	https://en.wikipedia.org/wiki/Parrott,_Georgia	feature	Albany metropolitan area, Georgia	31°53′39″N	84°30′40″W
Georgia State Route 32	https://en.wikipedia.org/wiki/Georgia_State_Route_32	link	Albany metropolitan area, Georgia	31°38′54″N	83°22′58″W
Daisy, Georgia	https://en.wikipedia.org/wiki/Daisy,_Georgia	link	Albany metropolitan area, Georgia	32°9′0″N	81°50′9″W
Cherry Log, Georgia	https://en.wikipedia.org/wiki/Cherry_Log,_Georgia	link	Albany metropolitan area, Georgia	34°46′49″N	84°23′27″W
Helena, Georgia	https://en.wikipedia.org/wiki/Helena,_Georgia	link	Albany metropolitan area, Georgia	32°4′29″N	82°54′46″W
Willard, Georgia	https://en.wikipedia.org/wiki/Willard,_Georgia	link	Albany metropolitan area, Georgia	33°18′26″N	83°29′2″W
Butler, Georgia	https://en.wikipedia.org/wiki/Butler,_Georgia	link	Albany metropolitan area, Georgia	32°33′N	84°14′W
Radium Springs, Georgia	https://en.wikipedia.org/wiki/Radium_Springs,_Georgia	feature	Albany metropolitan area, Georgia	31°31′35″N	84°08′08″W
Pretoria, Georgia	https://en.wikipedia.org/wiki/Pretoria,_Georgia	feature	Albany metropolitan area, Georgia	31°30′15″N	84°19′1″W
Ellabell, Georgia	https://en.wikipedia.org/wiki/Ellabell,_Georgia	link	Albany metropolitan area, Georgia	32°07′25″N	81°29′08″W
Worth County, Georgia	https://en.wikipedia.org/wiki/Worth_County,_Georgia	feature	Albany metropolitan area, Georgia	31°33′N	83°51′W
Cumming, Georgia	https://en.wikipedia.org/wiki/Cumming,_Georgia	link	Albany metropolitan area, Georgia	34°12′25″N	84°08′21″W
Kennesaw, Georgia	https://en.wikipedia.org/wiki/Kennesaw,_Georgia	link	Albany metropolitan area, Georgia	34°1′24″N	84°36′55″W
Six Mile, Georgia	https://en.wikipedia.org/wiki/Six_Mile,_Georgia	link	Albany metropolitan area, Georgia	34°10′38″N	85°12′23″W
Mineral Bluff, Georgia	https://en.wikipedia.org/wiki/Mineral_Bluff,_Georgia	link	Albany metropolitan area, Georgia	34°54′52″N	84°16′36″W
Yorkville, Georgia	https://en.wikipedia.org/wiki/Yorkville,_Georgia	link	Albany metropolitan area, Georgia	33°55′26″N	84°59′42″W
Lovejoy, Georgia	https://en.wikipedia.org/wiki/Lovejoy,_Georgia	link	Albany metropolitan area, Georgia	33°26′39″N	84°18′54″W
Acworth, Georgia	https://en.wikipedia.org/wiki/Acworth,_Georgia	link	Albany metropolitan area, Georgia	34°03′46″N	84°40′12″W
Albany, Georgia	https://en.wikipedia.org/wiki/Albany,_Georgia	feature	Albany metropolitan area, Georgia	31°34′56″N	84°9′56″W
Hiram, Georgia	https://en.wikipedia.org/wiki/Hiram,_Georgia	link	Albany metropolitan area, Georgia	33°51′56″N	84°46′29″W
Griffin, Georgia	https://en.wikipedia.org/wiki/Griffin,_Georgia	link	Albany metropolitan area, Georgia	33°14′51″N	84°16′15″W
Madison, Georgia	https://en.wikipedia.org/wiki/Madison,_Georgia	link	Albany metropolitan area, Georgia	33°35′17″N	83°28′21″W
Cloudland, Georgia	https://en.wikipedia.org/wiki/Cloudland,_Georgia	link	Albany metropolitan area, Georgia	34°30′57″N	85°29′40″W
Dawson, Georgia	https://en.wikipedia.org/wiki/Dawson,_Georgia	feature	Albany metropolitan area, Georgia	31°46′26″N	84°26′27″W
Whigham, Georgia	https://en.wikipedia.org/wiki/Whigham,_Georgia	link	Albany metropolitan area, Georgia	30°53′3″N	84°19′30″W
Hollywood, Georgia	https://en.wikipedia.org/wiki/Hollywood,_Georgia	link	Albany metropolitan area, Georgia	34°38′58″N	83°26′51″W
Poulan, Georgia	https://en.wikipedia.org/wiki/Poulan,_Georgia	feature	Albany metropolitan area, Georgia	31°30′49″N	83°47′28″W
Cordele, Georgia	https://en.wikipedia.org/wiki/Cordele,_Georgia	link	Albany metropolitan area, Georgia	31°57′51″N	83°46′38″W
Tugaloo State Park	https://en.wikipedia.org/wiki/Tugaloo_State_Park	link	Albany metropolitan area, Georgia	34°29′41″N	83°04′05″W
Buchanan, Georgia	https://en.wikipedia.org/wiki/Buchanan,_Georgia	link	Albany metropolitan area, Georgia	33°48′6″N	85°11′1″W
Flintstone, Georgia	https://en.wikipedia.org/wiki/Flintstone,_Georgia	link	Albany metropolitan area, Georgia	34°56′30″N	85°20′37″W
Arcade, Georgia	https://en.wikipedia.org/wiki/Arcade,_Georgia	link	Albany metropolitan area, Georgia	34°4′37″N	83°33′4″W
Dawson Forest	https://en.wikipedia.org/wiki/Dawson_Forest	link	Albany metropolitan area, Georgia	34°22′41″N	84°09′59″W
Turnerville, Georgia	https://en.wikipedia.org/wiki/Turnerville,_Georgia	link	Albany metropolitan area, Georgia	34°41′12″N	83°25′34″W
Putney, Georgia	https://en.wikipedia.org/wiki/Putney,_Georgia	feature	Albany metropolitan area, Georgia	31°28′23″N	84°7′17″W
Bethlehem, Georgia	https://en.wikipedia.org/wiki/Bethlehem,_Georgia	link	Albany metropolitan area, Georgia	33°56′11″N	83°42′38″W
Chalybeate Springs, Georgia	https://en.wikipedia.org/wiki/Chalybeate_Springs,_Georgia	link	Albany metropolitan area, Georgia	32°51′24″N	84°34′49″W
Bronwood, Georgia	https://en.wikipedia.org/wiki/Bronwood,_Georgia	feature	Albany metropolitan area, Georgia	31°49′51″N	84°21′50″W
Powder Springs, Georgia	https://en.wikipedia.org/wiki/Powder_Springs,_Georgia	link	Albany metropolitan area, Georgia	33°51′57″N	84°40′49″W
Sumner, Georgia	https://en.wikipedia.org/wiki/Sumner,_Georgia	feature	Albany metropolitan area, Georgia	31°30′40″N	83°44′18″W
Morganton, Georgia	https://en.wikipedia.org/wiki/Morganton,_Georgia	link	Albany metropolitan area, Georgia	34°52′36″N	84°14′44″W
Van Wert, Georgia	https://en.wikipedia.org/wiki/Van_Wert,_Georgia	link	Albany metropolitan area, Georgia	33°59′14″N	85°02′36″W
Rockmart, Georgia	https://en.wikipedia.org/wiki/Rockmart,_Georgia	link	Albany metropolitan area, Georgia	34°0′14″N	85°2′57″W
Terrell County, Georgia	https://en.wikipedia.org/wiki/Terrell_County,_Georgia	feature	Albany metropolitan area, Georgia	31°47′N	84°26′W
Fairmount, Georgia	https://en.wikipedia.org/wiki/Fairmount,_Georgia	link	Albany metropolitan area, Georgia	34°26′19″N	84°41′58″W
Cleveland, Georgia	https://en.wikipedia.org/wiki/Cleveland,_Georgia	link	Albany metropolitan area, Georgia	34°35′47″N	83°45′50″W
Hiawassee, Georgia	https://en.wikipedia.org/wiki/Hiawassee,_Georgia	link	Albany metropolitan area, Georgia	34°56′58″N	83°45′18″W
Trenton, Georgia	https://en.wikipedia.org/wiki/Trenton,_Georgia	link	Albany metropolitan area, Georgia	34°52′32″N	85°30′31″W
Jakin, Georgia	https://en.wikipedia.org/wiki/Jakin,_Georgia	link	Albany metropolitan area, Georgia	31°5′26″N	84°58′59″W
Preston, Georgia	https://en.wikipedia.org/wiki/Preston,_Georgia	link	Albany metropolitan area, Georgia	32°3′39″N	84°32′18″W
Auraria, Georgia	https://en.wikipedia.org/wiki/Auraria,_Georgia	link	Albany metropolitan area, Georgia	34°28.5′N	84°1.4′W
Cartersville, Georgia	https://en.wikipedia.org/wiki/Cartersville,_Georgia	link	Albany metropolitan area, Georgia	34°11′N	84°48′W
Cuthbert, Georgia	https://en.wikipedia.org/wiki/Cuthbert,_Georgia	link	Albany metropolitan area, Georgia	31°46′15″N	84°47′37″W
Russell, Georgia	https://en.wikipedia.org/wiki/Russell,_Georgia	link	Albany metropolitan area, Georgia	33°58′43″N	83°42′0″W
Dacula, Georgia	https://en.wikipedia.org/wiki/Dacula,_Georgia	link	Albany metropolitan area, Georgia	33°59′15″N	83°53′31″W
Lindale, Georgia	https://en.wikipedia.org/wiki/Lindale,_Georgia	link	Albany metropolitan area, Georgia	34°11′37″N	85°10′25″W
Clarkdale, Georgia	https://en.wikipedia.org/wiki/Clarkdale,_Georgia	link	Albany metropolitan area, Georgia	33°49′51″N	84°38′59″W
Ellijay, Georgia	https://en.wikipedia.org/wiki/Ellijay,_Georgia	link	Albany metropolitan area, Georgia	34°41′41″N	84°29′1″W
Glennville, Georgia	https://en.wikipedia.org/wiki/Glennville,_Georgia	link	Albany metropolitan area, Georgia	31°56′21″N	81°55′37″W
Newborn, Georgia	https://en.wikipedia.org/wiki/Newborn,_Georgia	link	Albany metropolitan area, Georgia	33°31′1″N	83°41′40″W
Ball Ground, Georgia	https://en.wikipedia.org/wiki/Ball_Ground,_Georgia	link	Albany metropolitan area, Georgia	34°20′14″N	84°22′42″W
Eden, Georgia	https://en.wikipedia.org/wiki/Eden,_Georgia	link	Albany metropolitan area, Georgia	32°00′39″N	81°24′31″W
Woodbury, Georgia	https://en.wikipedia.org/wiki/Woodbury,_Georgia	link	Albany metropolitan area, Georgia	32°58′50″N	84°34′52″W
Glenn, Georgia	https://en.wikipedia.org/wiki/Glenn,_Georgia	link	Albany metropolitan area, Georgia	33°9′15″N	85°12′11″W
Florence, Georgia	https://en.wikipedia.org/wiki/Florence,_Georgia	link	Albany metropolitan area, Georgia	32°05′27″N	85°02′36″W
Sonoraville, Georgia	https://en.wikipedia.org/wiki/Sonoraville,_Georgia	link	Albany metropolitan area, Georgia	34°26′53″N	84°48′32″W
Cedar Springs, Georgia	https://en.wikipedia.org/wiki/Cedar_Springs,_Georgia	link	Albany metropolitan area, Georgia	31°11′01″N	85°02′17″W
Blakely, Georgia	https://en.wikipedia.org/wiki/Blakely,_Georgia	link	Albany metropolitan area, Georgia	31°22′36″N	84°56′2″W
Quitman, Georgia	https://en.wikipedia.org/wiki/Quitman,_Georgia	link	Albany metropolitan area, Georgia	30°47′5″N	83°33′39″W
Boston, Georgia	https://en.wikipedia.org/wiki/Boston,_Georgia	link	Albany metropolitan area, Georgia	30°48′N	83°47′W
Lavonia, Georgia	https://en.wikipedia.org/wiki/Lavonia,_Georgia	link	Albany metropolitan area, Georgia	34°26′10″N	83°6′23″W
Wray, Georgia	https://en.wikipedia.org/wiki/Wray,_Georgia	link	Albany metropolitan area, Georgia	31°37′21″N	83°03′18″W
Wiley, Georgia	https://en.wikipedia.org/wiki/Wiley,_Georgia	link	Albany metropolitan area, Georgia	34°47′54″N	83°25′13″W
Juno, Georgia	https://en.wikipedia.org/wiki/Juno,_Georgia	link	Albany metropolitan area, Georgia	34°28′33″N	84°11′39″W
Amicalola, Georgia	https://en.wikipedia.org/wiki/Amicalola,_Georgia	link	Albany metropolitan area, Georgia	34°33′17″N	84°15′9″W
Lanier, Georgia	https://en.wikipedia.org/wiki/Lanier,_Georgia	link	Albany metropolitan area, Georgia	32°07′48″N	81°32′12″W
Aldora, Georgia	https://en.wikipedia.org/wiki/Aldora,_Georgia	link	Albany metropolitan area, Georgia	33°2′57″N	84°10′32″W
Buford, Georgia	https://en.wikipedia.org/wiki/Buford,_Georgia	link	Albany metropolitan area, Georgia	34°7′1″N	83°59′55″W
Milner, Georgia	https://en.wikipedia.org/wiki/Milner,_Georgia	link	Albany metropolitan area, Georgia	33°6′47″N	84°11′42″W
Chattahoochee-Oconee National Forest	https://en.wikipedia.org/wiki/Chattahoochee-Oconee_National_Forest	link	Albany metropolitan area, Georgia	34°45′49″N	84°06′56″W
Baker County, Georgia	https://en.wikipedia.org/wiki/Baker_County,_Georgia	feature	Albany metropolitan area, Georgia	31°20′N	84°27′W
Morris, Georgia	https://en.wikipedia.org/wiki/Morris,_Georgia	link	Albany metropolitan area, Georgia	31°47′40″N	84°56′47″W
Big Satilla River	https://en.wikipedia.org/wiki/Big_Satilla_River	link	Albany metropolitan area, Georgia	31°26′24.09″N	83°0′24.4″W
Hatcher, Georgia	https://en.wikipedia.org/wiki/Hatcher,_Georgia	link	Albany metropolitan area, Georgia	31°48′54″N	85°00′49″W
Graham, Georgia	https://en.wikipedia.org/wiki/Graham,_Georgia	link	Albany metropolitan area, Georgia	31°49′59″N	82°30′13″W
Blitchton, Georgia	https://en.wikipedia.org/wiki/Blitchton,_Georgia	link	Albany metropolitan area, Georgia	32°08′36″N	81°22′40″W
Salem, Georgia	https://en.wikipedia.org/wiki/Salem,_Georgia	link	Albany metropolitan area, Georgia	32°44′55″N	84°11′56″W
Camp Stewart	https://en.wikipedia.org/wiki/Camp_Stewart	link	Albany metropolitan area, Georgia	31°52′48″N	81°36′27″W
Pecan City, Georgia	https://en.wikipedia.org/wiki/Pecan_City,_Georgia	link	Albany metropolitan area, Georgia	31°31′04″N	84°04′12″W
Tate, Georgia	https://en.wikipedia.org/wiki/Tate,_Georgia	link	Albany metropolitan area, Georgia	34°25′6″N	84°22′58″W
Gordon, Georgia	https://en.wikipedia.org/wiki/Gordon,_Georgia	link	Albany metropolitan area, Georgia	32°53′9″N	83°20′7″W
Monticello, Georgia	https://en.wikipedia.org/wiki/Monticello,_Georgia	link	Albany metropolitan area, Georgia	33°18′12″N	83°41′9″W
Soperton, Georgia	https://en.wikipedia.org/wiki/Soperton,_Georgia	link	Albany metropolitan area, Georgia	32°22′34″N	82°35′34″W
Dallas, Georgia	https://en.wikipedia.org/wiki/Dallas,_Georgia	link	Albany metropolitan area, Georgia	33°55′7″N	84°50′27″W
Quadripoint	https://en.wikipedia.org/wiki/Quadripoint	link	Albany metropolitan area, Georgia	50°45′N	6°01′E
Lookout Mountain, Georgia	https://en.wikipedia.org/wiki/Lookout_Mountain,_Georgia	link	Albany metropolitan area, Georgia	34°58′31″N	85°21′17″W
Woodstock, Georgia	https://en.wikipedia.org/wiki/Woodstock,_Georgia	link	Albany metropolitan area, Georgia	34°06′05″N	84°31′10″W
Mansfield, Georgia	https://en.wikipedia.org/wiki/Mansfield,_Georgia	link	Albany metropolitan area, Georgia	33°31′7″N	83°44′7″W
Homer, Georgia	https://en.wikipedia.org/wiki/Homer,_Georgia	link	Albany metropolitan area, Georgia	34°20′2″N	83°29′59″W
Resaca, Georgia	https://en.wikipedia.org/wiki/Resaca,_Georgia	link	Albany metropolitan area, Georgia	34°34′45″N	84°56′38″W
Ashburn, Georgia	https://en.wikipedia.org/wiki/Ashburn,_Georgia	link	Albany metropolitan area, Georgia	31°42′16″N	83°39′14″W
Towns, Georgia	https://en.wikipedia.org/wiki/Towns,_Georgia	link	Albany metropolitan area, Georgia	32°00′16″N	82°45′17″W
